ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
1,亚马逊 智能空气净化器 Pro,4,17,1台/件,2339.08,756,60,68,0,智能空气净化器,亚马逊智能科技
2,谷歌 智能空调 Basic,5,10,2个/包,9735.61,754,120,76,0,智能空调,谷歌智能设备
3,谷歌 智能门锁 Standard,5,4,3个/套,5457.18,272,168,17,0,智能门锁,谷歌智能设备
4,博世 智能手环 Ultra,11,13,1个/件,8986.26,177,66,85,0,智能手环,博世智能系统
5,小米 智能冰箱 Elite,1,8,1个/盒,3425.86,332,150,73,1,智能冰箱,小米智能家居
6,西门子 智能冰箱 Elite,12,8,1台/件,2969.73,739,15,14,0,智能冰箱,西门子智能家居
7,索尼 智能空气净化器 Advanced,14,17,1个/件,9123.76,971,25,11,0,智能空气净化器,索尼智能科技
8,松下 智能手环 Advanced,13,13,3个/套,366.33,460,26,52,0,智能手环,松下智能电器
9,索尼 智能插座 Standard,14,3,1个/件,9687.07,652,92,38,0,智能插座,索尼智能科技
10,松下 智能洗衣机 Elite,13,9,1套/箱,1378.28,70,72,34,0,智能洗衣机,松下智能电器
